TITLE: Bill of Materials
BOM NO: 05_042340-a.csv
DATE: 08/30/2016
DESIGN: 02_042340a_top
TEMPLATE: Z:\allegro\v166_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_042340a,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_042340a,N/A,?,?,?,?,?,?,?
2,4,E000463,CAP CER X7R," 0.47uF",C0805,10,16V,N/A,C1-C4,AVX," CM21X7R474K16AT",REL,A004-0008-054,N/A,578228,N/A,7002225,?,?
3,6,E024768,CAP CER X8R," 1UF",C0805H60,20,16V,N/A,"C10,C14,C16-C19",TDK," C2012X8R1C105M125AB",REL,N/A,N/A,N/A,N/A,N/A,?,?
4,8,E012855,CAP CER X7R 0805," 0.1uF",C0805H53,10,25V,N/A,"C5-C9,C11-C13",MURATA MANUFACTURING," GRM21BR71E104KA01L",REL,N/A,N/A,N/A,N/A,7002126,?,?
5,1,E026500,CAP CER X7R," 3300PF",C1210,10,200V,N/A,C15,MULTICOMP (SPC)," MC1210B332K201CT",REL,N/A,N/A,N/A,N/A,N/A,?,?
6,1,E020984,"CONN-PCB HDR JMPR, 3X M000385"," 2213S-06G",CNHDR2X3H485,N/A,N/A,N/A,JP1,MULTICOMP," 2213S-06G",REL,N/A,N/A,N/A,N/A,N/A,?,?
7,4,E025050,"CONN-PCB THERMOCOUPLE MINIATURE SIZE, CALIBRATION TYPE U, 1X M025043"," PCC-SMP-U-100-ROHS",CNOMEGAPCC-SMP,N/A,N/A,N/A,P1-P4,OMEGA ENGINEERING INC.," PCC-SMP-U-100-ROHS",REL,N/A,N/A,N/A,N/A,N/A,?,?
8,2,E020478,CONN-PCB RCPT 25MIL SQ POST 2.54MM P," SSQ-108-03-G-S",CNSAMTECSSQ-108-XX-X-S,N/A,N/A,N/A,"P5,P9",SAMTEC INC.," SSQ-108-03-G-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
9,1,E020477,CONN-PCB RCPT 25MIL SQ POST 2.54MM PITCH," SSQ-106-03-G-S",CNSAMTECSSQ-106-XX-X-S,N/A,N/A,N/A,P6,SAMTEC INC.," SSQ-106-03-G-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
10,1,E020488,CONN-PCB  RCPT 25MIL SQ POST DUAL ROW 2.54MM PITCH," SSQ-103-03-G-D",CNSAMTECSSQ-103-XX-X-D,N/A,N/A,N/A,P7,SAMTEC INC.," SSQ-103-03-G-D",REL,N/A,N/A,N/A,N/A,N/A,?,?
11,1,E020479,CONN-PCB RCPT 25MIL SQ POST 2.54MM PITCH," SSQ-110-03-G-S",CNSAMTECSSQ-110-XX-X-S,N/A,N/A,N/A,P8,SAMTEC INC.," SSQ-110-03-G-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
12,4,E025151,RES PT TEMP SENSOR," 1K",R0805H20,0.12,N/A,N/A,R1-R4,IST," P1K0.0805.1FC.B.S",REL,N/A,N/A,N/A,N/A,N/A,?,?
13,1,E003823,"RES METAL FILM, HIGH RELIABILITY"," 1.6K",R0805,0.1,N/A,1/8W,R5,PANASONIC," ERA-6AEB162V",REL,N/A,N/A,N/A,N/A,N/A,?,?
14,1,E023649,"IC-ADI 8-CH, L-NOISE, L-POWER, 24BIT SIGMA DELTA ADC WITH PGA AND REF"," AD7124-8BCPZ",QFN32_5X5_PAD3_6X3_6,N/A,N/A,?,U1,ANALOG DEVICES INC.," AD7124-8BCPZ",REL,N/A,N/A,N/A,N/A,N/A,?,?
15,1,E006113,IC 4-BIT BIDIR VOLTAGE-LVL TRANSLATOR," TXB0104PWR",TSSOP14,N/A,N/A,?,U2,TEXAS INSTRUMENTS," TXB0104PWR",REL,A005-0012-336,40901JH1084,N/A,N/A,N/A,?,?
16,1,E021962,"IC-ADI LOW NOISE, CMOS LDO LINEAR REG, 3.3VOUT"," ADP7118ARDZ-3.3",SO8NB-PAD2_3X2_3,N/A,N/A,?,U3,ANALOG DEVICES INC.," ADP7118ARDZ-3.3",REL,N/A,N/A,N/A,N/A,N/A,?,?


The following components are part of the PCB or are NOT to be installed
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI

