Allegro Report
C:/tmp/20_042340a/worklib/02_042340a_top/physical/08_042340a.brd
Tue Aug 30 11:22:16 2016

SYM_NAME,SYM_LIBRARY_PATH,SYM_TYPE
DATUM_DIMENSION,,DRAFTING
DATUM_REFERENCE,,DRAFTING
LINEAR_DIMENSION,,DRAFTING
RADIAL_DIMENSION,,DRAFTING
C1210,Z:/allegro/v166_site/physical/psm/c1210.psm,PACKAGE
2_LAYER_STACKUP,Z:/allegro/v166_site/physical/osm/2_layer_stackup.osm,FORMAT
FAB_NOTES_2014MAR25,Z:/allegro/v166_site/physical/osm/fab_notes_2014mar25.osm,FORMAT
ADILOGOTAG_750X300,Z:/allegro/v166_site/physical/bsm/adilogotag_750x300.bsm,MECHANICAL
CSIZEM,Z:/allegro/v166_site/physical/osm/csizem.osm,FORMAT
CSIZE2,Z:/allegro/v166_site/physical/osm/csize2.osm,FORMAT
CSIZE,Z:/allegro/v166_site/physical/osm/csize.osm,FORMAT
WHEELIE_BIN,d:/Cadence/adi_pcb/allegro/v166_site/physical/bsm/wheelie_bin.bsm,MECHANICAL
ROHS_COMPLIANT_HALF,d:/Cadence/adi_pcb/allegro/v166_site/physical/bsm/rohs_compliant_half.bsm,MECHANICAL
CHINA_ROHS_HALF,d:/Cadence/adi_pcb/allegro/v166_site/physical/bsm/china_rohs_half.bsm,MECHANICAL
R0805H20,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/r0805h20.psm,PACKAGE
R0805,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/r0805.psm,PACKAGE
C0805H53,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/c0805h53.psm,PACKAGE
C0805,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/c0805.psm,PACKAGE
C0805H60,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/c0805h60.psm,PACKAGE
CNOMEGAPCC-SMP,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/cnomegapcc-smp.psm,PACKAGE
CNSAMTECSSQ-106-XX-X-S,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/cnsamtecssq-106-xx-x-s.psm,PACKAGE
CNHDR2X3H485,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/cnhdr2x3h485.psm,PACKAGE
CNSAMTECSSQ-103-XX-X-D,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/cnsamtecssq-103-xx-x-d.psm,PACKAGE
CNSAMTECSSQ-108-XX-X-S,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/cnsamtecssq-108-xx-x-s.psm,PACKAGE
SO8NB-PAD2_3X2_3,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/so8nb-pad2_3x2_3.psm,PACKAGE
CNSAMTECSSQ-110-XX-X-S,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/cnsamtecssq-110-xx-x-s.psm,PACKAGE
TSSOP14,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/tssop14.psm,PACKAGE
QFN32_5X5_PAD3_6X3_6,d:/Cadence/adi_pcb/allegro/v166_site/physical/psm/qfn32_5x5_pad3_6x3_6.psm,PACKAGE
NC_DRILL_TOL,z:/allegro/v162_site/physical/osm/nc_drill_tol.osm,FORMAT
LYR_LBL,z:/allegro/v162_site/physical/osm/lyr_lbl.osm,FORMAT
NP125,z:/allegro/v162_site/physical/bsm/np125.bsm,MECHANICAL
LABEL2_625X_6,Z:\allegro\v152_site\physical\bsm\label2_625x_6.bsm,MECHANICAL
